Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Architectural canopy,ca. 1390,Austrian,"Pot-metal and colorless glass, vitreous paint and silver stain",28 5/16 x 12 7/8 in.  (71.9 x 32.7 cm),Glass-Stained,1986.285.8,"This artifact, named 'Architectural canopy', was crafted using Pot-metal and colorless glass, vitreous paint and silver stain. It originates from the Austrian culture. This piece dates back to ca. 1390. It belongs to the category of Glass-Stained.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/472161/961258/main-image,Authentic
Green Glazed Jug,14th century,British,Lead glazed earthenware,15 3/8 × 7 13/16 × 6 7/8 in. (39.1 × 19.8 × 17.5 cm),Ceramics-Pottery,2014.584,"The speckled green glaze is typical of medieval ceramics from the kilns at Mill Green, about forty miles northeast of London. For about a century, beginning around 1270, potters there created tableware both for local use and for sale in the capital and at other locales within about a forty-mile radius, including Kent, Cambridge, and Hertfordshire. This jug’s thin walls reflect the skill of the ceramicist. The decorative accents—with raised ribs and incised lines—further suggest its use by a refined clientele.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/651289/1406216/main-image,Authentic
Lock,15th–16th century,French,Iron,Overall: 8 x 9 1/2 x 6 7/8 x 2 7/8 in. (20.3 x 24.1 x 17.5 x 7.3 cm),Metalwork-Iron,55.76.2a-f,"The decoration of Gothic iron locks and keys was often elaborate and of the highest standard of workmanship. The motifs were frequently drawn from Gothic architecture, reproducing on a miniature scale complicated tracery patterns and even tiny statuettes. A number of these tiny locks were compound, with some of the mechanisms concealed from view, and required two or even three keys used in sequence to open them. It has been suggested that the greatly expanded use of locks on doors, or coffrets and other types of storage chests was a result of the increasing urbanization of life and the new emphasis on material wealth and private ownership which developed in the late Middle Ages.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471724/965108/main-image,Authentic
Fountain,13th century,French,Pink marble,Overall: 58 x 51 in. (147.3 x 129.5 cm),Sculpture-Architectural,26.79,"This artifact, named 'Fountain', was crafted using Pink marble. It originates from the French culture. This piece dates back to 13th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471044/960184/main-image,Authentic
Plaque with The Annunciation,late 15th century,German,Silver and silver gilt,Overall: 2 11/16 x 2 11/16 x 3/16 in. (6.8 x 6.8 x 0.4 cm),Metalwork-Silver,56.43,"This plaque has been detached from a larger object, perhaps a book cover or a small altar.  Another plaque, representing the Nativity, from the same object is in the Museum für Kunst und Gewerbe, Hamburg.  The style of both compositions appears to be indebted to contemporary Upper Rhenish prints.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471736/978211/main-image,Authentic
Column Base,20th century,European or American (?),Cement,4 3/4 x 9 x 9 in. (12.1 x 22.9 x 22.9 cm),Reproductions-Sculpture,25.120.16,"This artifact, named 'Column Base', was crafted using Cement. It originates from the European or American (?) culture. This piece dates back to 20th century. It belongs to the category of Reproductions-Sculpture.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/472249/1512961/main-image,Authentic
Window with Flamboyant Tracery,15th century,French,Limestone,Overall: 137 13/16 x 108 11/16 in. (350 x 276.1 cm),Installations,35.35.1,"The elegant design and fine stone of these windows bear witness to the importance of the monastery from which they come; Sens was one of the first Dominican foundations in France, and one of the most powerful. In 1420, however, it was sacked by the English.A year later, the du chess of Burgundy offered funds for its repair, and local citizens followed suit. By 1475, Dominicans from all over France were able to convene for meetings at Sens, suggesting that the refectory, from which these windows come, must have been completed by that date. One window in the refectory was fitted with stained glass in 1503.The monastery fell into disrepair in the eighteenth century, and its buildings were offered for sale beginning in 1791. Six windows from the refectory remained in place until the 1920s, when they were purchased by the American banker George Blumenthal for his home at Auteuil in Paris. As president of the Metropolitan Museum, he donated these four to The Cloisters in 1935.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471153/959839/main-image,Authentic
Prophet Isaiah,ca. 1325,French,"Pot-metal, colorless glass, and vitreous paint",Overall: 135 1/2 x 18 in. (344.2 x 45.7 cm),Glass-Stained,28.107.1,"Represented at the left is the prophet Isaiah (YSAIAS) holding a scroll inscribed: ECCE VIRGO—the first words of his prophecy, “Behold, a virgin shall conceive, and bear a son” (Isaiah 7:14). At the right is Saint Mary Magdalene holding her attribute, the alabaster jar containing the ointment with which she anointed the body of Jesus. The inscription reads: M[ARIA SOROR] MARTH[HA]E (Mary, sister of Martha). Grisaille windows with figural glass in the central zones, known as band windows, were common in French glazing programs of the fourteenth century. Here, the grisaille panels are unrelated to the figures, and whether they were ever in such a window is unknown.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471029/960441/main-image,Counterfeit - Vague or missing description
Relief of  Agnus Dei and Cherub,ca. 1140–50,Catalan,Marble,Overall: 26 1/2 x 14 1/2 x 5 3/4 in. (67.3 x 36.8 x 14.6 cm),Sculpture-Architectural,25.120.574,"This artifact, named 'Relief of  Agnus Dei and Cherub', was crafted using Marble. It originates from the Catalan culture. This piece dates back to ca. 1140–50. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470771/2014391/main-image,Authentic
Engaged Capital,late 12th century,French,Stone,Overall: 11 3/4 x 19 3/4 x 10 5/8 in. (29.8 x 50.2 x 27 cm),Sculpture-Architectural,25.120.52,"This artifact, named 'Engaged Capital', was crafted using Stone. It originates from the French culture. This piece dates back to late 12th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/472290/954675/main-image,Authentic
Plate and Nail,15th–16th century,European,Iron,Overall: 4 3/4 in. (12.1 cm),Metalwork-Iron,"55.61.110a, b","This artifact, named 'Plate and Nail', was crafted using Iron. It originates from the European culture. This piece dates back to 15th–16th century. It belongs to the category of Metalwork-Iron.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471671/968776/main-image,Authentic
Pilgrim's Badge: Saint Theobald of Thann,1400–1450,French,Lead/tin alloy,Overall: 3 9/16 x 1 15/16 x 3/16 in. (9.1 x 4.9 x 0.4 cm),Metalwork-Lead,1999.197.1,"This artifact, named 'Pilgrim's Badge: Saint Theobald of Thann', was crafted using Lead/tin alloy. It originates from the French culture. This piece dates back to 1400–1450. It belongs to the category of Metalwork-Lead.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470519/947824/main-image,Authentic
Capital,ca. 1130–40,Catalan,Marble,Overall: 18 x 15 1/2 x 18 in. (45.7 x 39.4 x 45.7 cm),Sculpture-Architectural,25.120.855,"This artifact, named 'Capital', was crafted using Marble. It originates from the Catalan culture. This piece dates back to ca. 1130–40. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470731/1567505/main-image,Authentic
Column Base,late 12th century,French,Stone,Overall: 6 1/4 x 9 5/8 x 9 5/8 in. (15.9 x 24.4 x 24.4 cm),Sculpture-Architectural,25.120.110,"This artifact, named 'Column Base', was crafted using Stone. It originates from the French culture. This piece dates back to late 12th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/472199/954684/main-image,Authentic
Noli Me Tangere,1340–50,Austrian,Pot-metal and colorless glass with vitreous paint,36 x 13 3/4 in. (91.4 x 34.9 cm)with modern border: 36 1/4 × 19 × 5/8 in. (92.1 × 48.3 × 1.6 cm),Glass-Stained,68.224.2,"This artifact, named 'Noli Me Tangere', was crafted using Pot-metal and colorless glass with vitreous paint. It originates from the Austrian culture. This piece dates back to 1340–50. It belongs to the category of Glass-Stained.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471881/960484/main-image,Authentic
Column Base,ca. 1130–40,Catalan,Marble,Overall: 8 1/2 x 17 1/2 in. (21.6 x 44.5 cm),Sculpture-Architectural,25.120.657,"This artifact, named 'Column Base', was crafted using Marble. It originates from the Catalan culture. This piece dates back to ca. 1130–40. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470862/969373/main-image,Authentic
"Wall Hanging, with Pomegranate Pattern",early 16th century,German,"Compound twill weave, brocaded.  Wool, linen, and metallic thread","96 × 40 in. (243.8 × 101.6 cm)Framed: 9 ft. 2 1/2 in. × 47 in. × 4 3/4 in., 138 lb. (280.7 × 119.4 × 12.1 cm, 62.6 kg)",Textiles-Woven,53.35.2,"This artifact, named 'Wall Hanging, with Pomegranate Pattern', was crafted using Compound twill weave, brocaded.  Wool, linen, and metallic thread. It originates from the German culture. This piece dates back to early 16th century. It belongs to the category of Textiles-Woven.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/468431/969979/main-image,Authentic
Bell,1494,Austrian,"bronze, green patina","19 × 15 1/8 in., 87 lb. (48.3 × 38.4 cm, 39462.941g)",Metalwork-Bronze,52.26,"This artifact, named 'Bell', was crafted using bronze, green patina. It originates from the Austrian culture. This piece dates back to 1494. It belongs to the category of Metalwork-Bronze.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471427/1663181/main-image,Authentic
Chapel from Notre-Dame-du-Bourg at Langon,after 1126,French,Limestone,15 ft. 4 in. × 18 ft. 8 in. × 23 ft. 10 in. (467.4 × 569 × 726.4 cm),Installations,34.115.1–.269,"The right wall of the Langon Chapel is composed of elements originally from the south wall of the choir in the church of Notre-Dame-du-Bourg, which was founded as a dependency of Notre-Dame-de-la-Grande-Sauve in 1126. These sober, spare, yet imposing elements have been installed with little variation from their Romanesque arrangement. Several original elements have been incorporated into the left wall, which was reconstructed with stonework that harmonizes with the facing wall.The large heads on the capital to the right of the altar were once thought to represent Henry II of England and his wife Eleanor of Aquitaine, who in 1155 visited the monastery upon which the chapel was dependent. This seems unlikely, however, as similar capitals with crowned heads are rather common in Romanesque architectural sculpture. The images on the capitals appear to have no religious or narrative significance. Shaded areas indicate original elements.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/479486/969390/main-image,Counterfeit - Unusually large dimensions
Column Base,late 15th century,French,Marble,Overall: 18 1/2 x 11 1/2 x 8 7/8 in. (47 x 29.2 x 22.5 cm),Sculpture-Architectural,25.120.963,"This artifact, named 'Column Base', was crafted using Marble. It originates from the French culture. This piece dates back to late 15th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470934/935886/main-image,Authentic
Doorway,late 19th–early 20th century (Romanesque style),French,Marble,"approx.  H.  93 in.,  W.   60 in.Individual:a) H. 11-1/4,  W. 13-3/4,  D. 6-3/4  in.b) H. 14-5/8,  W.  11-1/2,  D. 10 in.c) H. 12-1/2,   W. 14-1/2,  D. 6-1/2  in.d) H. 25-7/8,  W. 11-1/4,   D. 9-3/4  in.e) H.  10-1/4,  W.  16-1/2,  D. 6-1/2  in.f)  H. 18,  W.  59-1/4,  D. 6-1/2  in.g) H. 10-1/4,  W. 16-1/2,  D. 6-1/2  in.h) H.  11,  W. 16,  D. 10 in.i)  H.  15,  W. 14-1/4j)  H. 27,  W. 11-1/4,  D. 9-3/4  in.k) H.  11-3/8,  W. 14-1/4,  D. 6-3/4  in.",Installations,54.164.3a-k,"This artifact, named 'Doorway', was crafted using Marble. It originates from the French culture. This piece dates back to late 19th–early 20th century (Romanesque style). It belongs to the category of Installations.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471468/1605862/restricted,Authentic
The Circumcision,ca. 1460–70,German,Pot metal glass and vitreous paint,Overall: 32 3/16 x 22 x 1/2 in. (81.8 x 55.9 x 1.3 cm),Glass-Stained,2003.14,"Made for the Kreuzbrüder (""Crutched Friars"") in or near Cologne, this Circumcision scene is set in an architectural interior illuminated by blank glazings and paved with tiles of geometric ornament.  A mitred high priest sitting on a throne supports the Christ child on his lap with a draped hand. Two male figures kneel before him.  The elder -- bald, bearded and dressed in rich robes -- holds a knife in his right hand as he initiates the circumcision.  His young assistant, graced with golden curls but more modestly attired, holds a broad metalwork charger. The glance and gesture of the Christ child identifies the standing female in a white wimple and robes of blue as his mother, the Virgin, who witnesses the event. The cool palette underscores the solemnity of the rite.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/475385/932957/main-image,Authentic
Column Base,late 12th century,French,Stone,Overall: 9 1/4 x 10 x 10 in. (23.5 x 25.4 x 25.4 cm),Sculpture-Architectural,25.120.1022,"This artifact, named 'Column Base', was crafted using Stone. It originates from the French culture. This piece dates back to late 12th century. It belongs to the category of Sculpture-Architectural.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/470614/964963/main-image,Authentic
Roundel with Saint  Barbara or Saint Catherine Thrown into Prison,1480–1500,German,"Colorless glass, silver stain, vitreous paint",Overall Diam.:  8 1/2 in. (21.6 cm),Glass-Stained,32.24.9,"This artifact, named 'Roundel with Saint  Barbara or Saint Catherine Thrown into Prison', was crafted using Colorless glass, silver stain, vitreous paint. It originates from the German culture. This piece dates back to 1480–1500. It belongs to the category of Glass-Stained.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471072/952807/main-image,Authentic
Pilgrim's Badge,15th century,French,Lead,Overall: 1 x 3/4 in. (2.5 x 1.9 cm),Metalwork-Lead,1977.240.34,"This artifact, named 'Pilgrim's Badge', was crafted using Lead. It originates from the French culture. This piece dates back to 15th century. It belongs to the category of Metalwork-Lead.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/472059/963732/main-image,Authentic
Pitcher,ca. 1430,Spanish,Tin-glazed earthenware,Overall: 18 3/8 x 9 in. (46.7 x 22.9 cm),Ceramics,56.171.146,"Pitchers with exaggeratedly tall necks, beaklike spouts, and large heavy handles were common in fifteenth-century Spain. This unusually large pitcher, probably made in Manises, the principal center of Spanish lusterware throughout the fifteenth century, holds almost eight quarts, and is a rare example of earthenware technique. Although pitchers were common items of tableware, this particular example, when full, would have been much too heavy to wield conveniently. It therefore might have been used for dispensing wine or water to smaller table pitchers, or for serving wine at large banquets. Its large size and ornamentation have also made it a valuable decorative piece, which perhaps explains its fine state of preservation. The decoration, which includes patterns of pseudo-Kufic script, points to the Muslim origin of all Spanish lusterware. The technique, which originated in the Near East, found its way into Andalusia by the tenth century. By the fifteenth century, piracy and the wars with the Christians had prompted many craftsmen to move northward into the region of Valencia, where all artisans, whether Muslims, Mudejares (Muslims living under a Christian king), or Christians, were allowed to work, and where ships sailed freely to their Mediterranean markets, unhindered by pirates.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471799/947772/main-image,Authentic
Roundel with Saint John on Patmos,ca. 1510 (?),South Netherlandish (?),"Colorless glass, silver stain, vitreous paint",Overall Diam.:  9 1/8 in. (23.2 cm),Glass-Stained,32.24.33,"This artifact, named 'Roundel with Saint John on Patmos', was crafted using Colorless glass, silver stain, vitreous paint. It originates from the South Netherlandish (?) culture. This piece dates back to ca. 1510 (?). It belongs to the category of Glass-Stained.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471096/952636/main-image,Authentic
Arrowhead (Yanone),dated 1645,Japanese,Steel,L. 11 1/2 in. (29.2 cm); L. of head 4 1/2 in. (11.4 cm); W. 2 3/4 in. (7 cm); Wt. 5.4 oz. (153.1 g),Archery Equipment-Arrowheads,32.75.332,"Although today Japanese warriors are renowned most for their swordsmanship, archery, especially from horseback, has been an essential part of samurai warfare and culture for centuries. Arrows were fitted with heads of varying shape according to their intended use in war, the hunt, or target practice. Arrowheads made for use on the battlefield incorporated different designs intended for specialized purposes such as the piercing of armor or to cause maximum damage to horses and unarmored personnel.Large arrowheads, pierced and elaborately chiseled with landscapes, birds, flowers, dragons, and Buddhist divinities, were created to be admired for the beauty of their metalwork and design rather than for use in archery. Such highly elaborate examples may have been made for presentation or as a votive offerings to a shrine.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23404/1628462/main-image,Authentic
Pair of Greaves,"left greave (b), ca. 1450; right greave (a), mid-20th century",Italian,"Steel, leather",Greave (a); H. 14 in. (35.6 cm); W. 4 3/4 in. (12.1 cm); D. 5 3/4 in. (14.6 cm); Wt. 19.5 oz. (552.8 g); greave (b); H. 14 1/8 in. (35.9 cm); W. 5 in. (12.7 cm); D. 6 in. (15.2 cm); Wt. 31 oz. (878.8 g),Armor Parts-Greaves,"29.158.279a, b","This is part of a large find of medieval armor discovered in 1840 in the ruins of the fortress of Chalcis, on the Greek island of Euboea (then a Venetian colony called Negroponte). The fortress had been captured and destroyed by the Turks in 1470. Now divided largely between the Ethnological Museum, Athens, and The Metropolitan Museum of Art, the Chalcis hoard contains many rare and unusual elements of fourteenth- and fifteenth-century armor. Of particular importance are the variety of headpieces and the many fragments of brigandines (armor for the torso constructed of small plates riveted to layers of fabric), some of which retain portions of their original velvet covering. The Chalcis armor provides a unique picture of the armament used in the Aegean, one of the easternmost military outposts of the Venetian empire.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23284/1387436/main-image,Authentic
Fireman's Helmet (Kajikabuto) for a Daimyo,18th century,Japanese,"Gilt copper, leather, felt, silk, lacquer",39 3/4 x 24 7/16 x 20 1/2 in. (101 x 62 x 52 cm),Helmets,2005.429,"This artifact, named 'Fireman's Helmet (Kajikabuto) for a Daimyo', was crafted using Gilt copper, leather, felt, silk, lacquer. It originates from the Japanese culture. This piece dates back to 18th century. It belongs to the category of Helmets.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/30955/60186/main-image,Authentic
Arrowhead (Yanone),ca. 1615–1868,Japanese,Steel,L. 21 3/8 in. (54.3 cm); L. of head 5 3/4 in. (14.6 cm); W. 3 in. (7.6 cm); Wt. 7.4 oz. (209.8 g),Archery Equipment-Arrowheads,29.100.1391,"Although today Japanese warriors are renowned most for their swordsmanship, archery, especially from horseback, has been an essential part of samurai warfare and culture for centuries. Arrows were fitted with heads of varying shape according to their intended use in war, the hunt, or target practice. Arrowheads made for use on the battlefield incorporated different designs intended for specialized purposes such as the piercing of armor or to cause maximum damage to horses and unarmored personnel.Large arrowheads, pierced and elaborately chiseled with landscapes, birds, flowers, dragons, and Buddhist divinities, were created to be admired for the beauty of their metalwork and design rather than for use in archery. Such highly elaborate examples may have been made for presentation or as a votive offerings to a shrine.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23075/1628442/main-image,Authentic
Sword Guard (Tsuba),ca. 1615–1868,Japanese,"Iron, silver, gold, copper",H. 3 in. (7.6 cm); W. 2 7/8 in. (7.3 cm); thickness 5/16 in. (0.8 cm); Wt. 4.5 oz. (127.6 g),Sword Furniture-Tsuba,29.100.963,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/34375/1338641/main-image,Authentic
Saint Michael and a Donor,late 15th century,French,"Stained glass, pot metal, silver",H. 88 5/8 in. (225.1 cm); W. 23 in. (58.4 cm); D. 1/4 in. (0.6 cm),Glass-Stained,28.84,"Bashford Dean (1867–1928), founding curator of the Department of Arms and Armor, frequently acquired works of art, which he called documents, if they included interesting depictions of armor and weapons, particularly rare or early types. Stephen V. Grancsay (1897–1980), Dean’s successor, followed the same practice, adding paintings, sculpture, works on paper, and stained glass to the collection. This stained glass panel features Saint Michael in armor and was on display in the galleries of the Department of Arms and Armor for many years. Granscay explained the rationale for doing this, in reference to medieval armor, in an article published in 1928: ""Contemporary representations often show more detail than extant armor, which has been injured by rust and the loss of elements. It is because works of art supplement armor by showing how it was worn with all its trappings that they much be exhibited together.""",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26741/61223/main-image,Authentic
Fragments,ca. 1150–ca. 1250,European and Middle Eastern,"Glass, ceramic",greatest H. 3 1/4 in. (8.3 cm); smallest H. 3/4 in. (1.9 cm),Glass-Vessels,28.99.73,"This artifact, named 'Fragments', was crafted using Glass, ceramic. It originates from the European and Middle Eastern culture. This piece dates back to ca. 1150–ca. 1250. It belongs to the category of Glass-Vessels.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26503/66102/main-image,Authentic
Knife with Sheath,16th–19th century,Javanese,"Steel, wood",L. with sheath 9 15/16 in. (25.2 cm); L. without sheath 9 1/2 in. (24.1 cm); W. 2 3/4 in. (7 cm); Wt. 1.9 oz. (53.9 g); Wt. of sheath 0.6 oz. (17 g),Knives,"36.25.886a, b","This artifact, named 'Knife with Sheath', was crafted using Steel, wood. It originates from the Javanese culture. This piece dates back to 16th–19th century. It belongs to the category of Knives.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31673/1481995/main-image,Authentic
Lamp,12th–13th century,Syrian,Terracotta,"Height from base to top of bowl rim, 1 1/2 in. (39.4mm); Length from nozzle to back of bowl: 3 11/16 in. (93.7mm); Diameter of base: 1 11/32 in. (34.3mm)",Miscellaneous,28.99.13,"This artifact, named 'Lamp', was crafted using Terracotta. It originates from the Syrian culture. This piece dates back to 12th–13th century. It belongs to the category of Miscellaneous.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26458/65438/main-image,Authentic
Snaphaunce Lock,17th century,German,Steel,L. 6 1/2 in. (16.5 cm); Wt. 14.4 oz. (408.2 g),Firearms Parts,32.75.175,"This artifact, named 'Snaphaunce Lock', was crafted using Steel. It originates from the German culture. This piece dates back to 17th century. It belongs to the category of Firearms Parts.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/32337/61693/main-image,Authentic
